"gsis_id","PlayerName","PlayerPosition","season","FP","Targets","Reception","Receiving_TDs","WOPR","WR_Rank","n","All_time_n","Expected_FP","WOPR_Change_yty","NY_WR_Rank","TD_Change_yty"
"00-0022921","Larry Fitzgerald","WR",2020,100.9,72,54,1,0.246610637602827,"WR3",13,231,82.9788972232995,NA,NA,NA
"00-0025396","Ted Ginn","WR",2020,7,6,3,0,0.0312383509714105,"WR4+",3,172,4.01232624155845,NA,NA,NA
"00-0026035","Danny Amendola","WR",2020,106.4,69,46,0,0.244283372971136,"WR2",14,152,89.4563520514174,NA,NA,NA
"00-0026189","DeSean Jackson","WR",2020,44.8,26,14,1,0.115676321289937,"WR4+",5,159,32.1622718743521,NA,NA,NA
"00-0027150","Julian Edelman","WR",2020,56.22,39,21,0,0.216364380886383,"WR4+",6,121,52.8992477891687,NA,NA,NA
"00-0027685","Emmanuel Sanders","WR",2020,164.8,82,61,5,0.378714360985891,"WR1",14,172,98.0411259259181,NA,NA,NA
"00-0027691","Andre Roberts","WR",2020,7.1,5,4,0,0.0185844028770499,"WR4+",3,112,6.20482604758141,NA,NA,NA
"00-0027793","Antonio Brown","WR",2020,117.1,62,45,4,0.211693079455187,"WR4+",8,137,72.3987175247711,NA,NA,NA
"00-0027891","Golden Tate","WR",2020,86.52,52,35,2,0.218949249568142,"WR3",12,174,58.2118420798128,NA,NA,NA
"00-0027902","Dez Bryant","WR",2020,22.7,11,6,2,0.0480092050437103,"WR4+",4,117,9.39482847891821,NA,NA,NA
"00-0027942","A.J. Green","WR",2020,111.3,104,47,2,0.459152012619132,"WR1",16,126,102.297799085697,NA,NA,NA
"00-0027944","Julio Jones","WR",2020,146.1,68,51,3,0.251192599944867,"WR3",9,134,106.064730632638,NA,NA,NA
"00-0028002","Randall Cobb","WR",2020,100.1,48,38,3,0.167308865631013,"WR3",10,128,61.619961354634,NA,NA,NA
"00-0028237","Chris Hogan","WR",2020,25.8,26,14,0,0.114654730390921,"WR4+",5,82,16.4969021389478,NA,NA,NA
"00-0028411","Dontrelle Inman","WR",2020,46.3,27,18,2,0.1057851424399,"WR4+",7,79,33.502216125365,NA,NA,NA
"00-0029000","Cole Beasley","WR",2020,207.5,107,82,4,0.371086311185077,"WR2",15,130,167.564680461976,NA,NA,NA
"00-0029137","Alshon Jeffery","WR",2020,23.5,13,6,1,0.0520475985092288,"WR4+",7,108,15.4333760502688,NA,NA,NA
"00-0029293","Marvin Jones","WR",2020,227.8,115,76,9,0.481762524516239,"WR1",16,109,150.136680429197,NA,NA,NA
"00-0029608","T.Y. Hilton","WR",2020,162.2,93,56,5,0.44951457337311,"WR1",15,133,131.772975211618,NA,NA,NA
"00-0030035","Adam Thielen","WR",2020,252,108,74,14,0.503273807563352,"WR2",15,89,149.954128259047,NA,NA,NA
"00-0030085","Kenny Stills","WR",2020,31.4,19,11,1,0.082084526212043,"WR4+",7,113,24.0525799508208,NA,NA,NA
"00-0030279","Keenan Allen","WR",2020,247.1,147,100,8,0.48950332537558,"WR1",14,100,185.447472377682,NA,NA,NA
"00-0030431","Robert Woods","WR",2020,247.1,129,90,6,0.474298865670902,"WR1",16,116,161.694960528301,NA,NA,NA
"00-0030525","Tavon Austin","WR",2020,7,5,5,0,0.0099868470209055,"WR4+",3,96,4.41321786468491,NA,NA,NA
"00-0030564","DeAndre Hopkins","WR",2020,291.8,160,115,6,0.619750096516497,"WR1",16,126,221.42875233928,NA,NA,NA
"00-0030578","Cordarrelle Patterson","WR",2020,63.4,25,21,0,0.0706286526615069,"WR4+",15,109,47.8251755218328,NA,NA,NA
"00-0030663","Willie Snead","WR",2020,94.2,48,33,3,0.249473024864512,"WR2",13,80,70.6888550270436,NA,NA,NA
"00-0030670","Bennie Fowler","WR",2020,3.1,6,2,0,0.0264414651757313,"WR4+",1,56,2.71432820290874,NA,NA,NA
