"gsis_id","PlayerName","PlayerPosition","posteam","season","Targets","Reception","Air_Yards","Receiving_Yards","Receiving_TDs","Target_Share","Air_Yards_MS","WOPR","aDoT","Team_Pass_Attempts","Team_Air_Yards","FP","NYFP","n","NY_n","Targetspgame","NY_Targetspgame","Receptionspgame","NY_Receptionspgame","Air_Yardspgame","NY_Air_Yardspgame","NY_Air_Yards_MS","Receiving_Yardspgame","NY_Receiving_Yardspgame","Receiving_TDspgame","NY_Receiving_TDspgame","NY_Target_Share","NY_WOPR","NY_Air_Yards","NY_Targets","NY_adot","Team_PApgame","NY_Team_PApgame","Team_AYpgame","NY_Team_AYpgame","NY_TPA_Input","NY_TAY_Input","NY_TS_Input","NY_TS_Input_D"
"00-0022921","Larry Fitzgerald","WR","ARI",2020,72,54,432,409,1,0.145161290322581,0.114346214928534,0.297784285933845,6,496,3778,100.9,NA,13,NA,5.53846153846154,NA,4.15384615384615,NA,33.2307692307692,NA,NA,31.4615384615385,NA,0.0769230769230769,NA,NA,NA,NA,NA,NA,38.1538461538462,NA,290.615384615385,NA,NA,NA,NA,"Same"
"00-0025396","Ted Ginn","WR","CHI",2020,6,3,121,40,0,0.0451127819548872,0.0964912280701754,0.135213032581454,20.1666666666667,133,1254,7,NA,3,NA,2,NA,1,NA,40.3333333333333,NA,NA,13.3333333333333,NA,0,NA,NA,NA,NA,NA,NA,44.3333333333333,NA,418,NA,NA,NA,NA,"Same"
"00-0026035","Danny Amendola","WR","DET",2020,69,46,558,602,0,0.128014842300557,0.125647376716956,0.279975427152704,8.08695652173913,539,4441,106.4,NA,14,NA,4.92857142857143,NA,3.28571428571429,NA,39.8571428571429,NA,NA,43,NA,0,NA,NA,NA,NA,NA,NA,38.5,NA,317.214285714286,NA,NA,NA,NA,"Same"
"00-0026189","DeSean Jackson","WR","PHI",2020,26,14,432,236,1,0.112554112554113,0.226890756302521,0.327654698242934,16.6153846153846,231,1904,44.8,NA,5,NA,5.2,NA,2.8,NA,86.4,NA,NA,47.2,NA,0.2,NA,NA,NA,NA,NA,NA,46.2,NA,380.8,NA,NA,NA,NA,"Same"
"00-0027150","Julian Edelman","WR","NE",2020,39,21,401,315,0,0.202072538860104,0.32681336593317,0.531878164443375,10.2820512820513,193,1227,56.22,NA,6,NA,6.5,NA,3.5,NA,66.8333333333333,NA,NA,52.5,NA,0,NA,NA,NA,NA,NA,NA,32.1666666666667,NA,204.5,NA,NA,NA,NA,"Same"
"00-0027685","Emmanuel Sanders","WR","NO",2020,82,61,723,726,5,0.174097664543524,0.250346260387812,0.436388879086755,8.81707317073171,471,2888,164.8,NA,14,NA,5.85714285714286,NA,4.35714285714286,NA,51.6428571428571,NA,NA,51.8571428571429,NA,0.357142857142857,NA,NA,NA,NA,NA,NA,33.6428571428571,NA,206.285714285714,NA,NA,NA,NA,"Same"
"00-0027691","Andre Roberts","WR","BUF",2020,5,4,48,34,0,0.040983606557377,0.0465116279069767,0.0940335493709493,9.6,122,1032,7.1,NA,3,NA,1.66666666666667,NA,1.33333333333333,NA,16,NA,NA,11.3333333333333,NA,0,NA,NA,NA,NA,NA,NA,40.6666666666667,NA,344,NA,NA,NA,NA,"Same"
"00-0027793","Antonio Brown","WR","TB",2020,62,45,549,483,4,0.188449848024316,0.183489304812834,0.411117285405458,8.85483870967742,329,2992,117.1,NA,8,NA,7.75,NA,5.625,NA,68.625,NA,NA,60.375,NA,0.5,NA,NA,NA,NA,NA,NA,41.125,NA,374,NA,NA,NA,NA,"Same"
"00-0027891","Golden Tate","WR","NYG",2020,52,35,464,388,2,0.126829268292683,0.159724612736661,0.302051131354687,8.92307692307692,410,2905,86.52,NA,12,NA,4.33333333333333,NA,2.91666666666667,NA,38.6666666666667,NA,NA,32.3333333333333,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,34.1666666666667,NA,242.083333333333,NA,NA,NA,NA,"Same"
"00-0027902","Dez Bryant","WR","BAL",2020,11,6,52,47,2,0.105769230769231,0.0605355064027939,0.201028700635802,4.72727272727273,104,859,22.7,NA,4,NA,2.75,NA,1.5,NA,13,NA,NA,11.75,NA,0.5,NA,NA,NA,NA,NA,NA,26,NA,214.75,NA,NA,NA,NA,"Same"
"00-0027942","A.J. Green","WR","CIN",2020,104,47,1427,523,2,0.165341812400636,0.301627562883111,0.459152012619132,13.7211538461538,629,4731,111.3,NA,16,NA,6.5,NA,2.9375,NA,89.1875,NA,NA,32.6875,NA,0.125,NA,NA,NA,NA,NA,NA,39.3125,NA,295.6875,NA,NA,NA,NA,"Same"
"00-0027944","Julio Jones","WR","ATL",2020,68,51,764,771,3,0.179419525065963,0.233567716294711,0.432626689005242,11.2352941176471,379,3271,146.1,NA,9,NA,7.55555555555556,NA,5.66666666666667,NA,84.8888888888889,NA,NA,85.6666666666667,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,42.1111111111111,NA,363.444444444444,NA,NA,NA,NA,"Same"
"00-0028002","Randall Cobb","WR","HOU",2020,48,38,323,441,3,0.131506849315068,0.111997226074896,0.27565833222503,6.72916666666667,365,2884,100.1,NA,10,NA,4.8,NA,3.8,NA,32.3,NA,NA,44.1,NA,0.3,NA,NA,NA,NA,NA,NA,36.5,NA,288.4,NA,NA,NA,NA,"Same"
"00-0028237","Chris Hogan","WR","NYJ",2020,26,14,259,118,0,0.138297872340426,0.192708333333333,0.342342641843972,9.96153846153846,188,1344,25.8,NA,5,NA,5.2,NA,2.8,NA,51.8,NA,NA,23.6,NA,0,NA,NA,NA,NA,NA,NA,37.6,NA,268.8,NA,NA,NA,NA,"Same"
"00-0028411","Dontrelle Inman","WR","WAS",2020,27,18,231,163,2,0.0992647058823529,0.156186612576065,0.258227687626775,8.55555555555556,272,1479,46.3,NA,7,NA,3.85714285714286,NA,2.57142857142857,NA,33,NA,NA,23.2857142857143,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,38.8571428571429,NA,211.285714285714,NA,NA,NA,NA,"Same"
"00-0029000","Cole Beasley","WR","BUF",2020,107,82,832,967,4,0.183219178082192,0.177701836821871,0.399220052898597,7.77570093457944,584,4682,207.5,NA,15,NA,7.13333333333333,NA,5.46666666666667,NA,55.4666666666667,NA,NA,64.4666666666667,NA,0.266666666666667,NA,NA,NA,NA,NA,NA,38.9333333333333,NA,312.133333333333,NA,NA,NA,NA,"Same"
"00-0029137","Alshon Jeffery","WR","PHI",2020,13,6,172,115,1,0.0451388888888889,0.0778632865550023,0.122212633921835,13.2307692307692,288,2209,23.5,NA,7,NA,1.85714285714286,NA,0.857142857142857,NA,24.5714285714286,NA,NA,16.4285714285714,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,41.1428571428571,NA,315.571428571429,NA,NA,NA,NA,"Same"
"00-0029293","Marvin Jones","WR","DET",2020,115,76,1461,978,9,0.184294871794872,0.293314595462759,0.481762524516239,12.704347826087,624,4981,227.8,NA,16,NA,7.1875,NA,4.75,NA,91.3125,NA,NA,61.125,NA,0.5625,NA,NA,NA,NA,NA,NA,39,NA,311.3125,NA,NA,NA,NA,"Same"
"00-0029608","T.Y. Hilton","WR","IND",2020,93,56,1166,762,5,0.175803402646503,0.315903549173666,0.48483758839132,12.5376344086022,529,3691,162.2,NA,15,NA,6.2,NA,3.73333333333333,NA,77.7333333333333,NA,NA,50.8,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,35.2666666666667,NA,246.066666666667,NA,NA,NA,NA,"Same"
"00-0030035","Adam Thielen","WR","MIN",2020,108,74,1239,925,14,0.21259842519685,0.331549371153332,0.550982197602608,11.4722222222222,508,3737,252,NA,15,NA,7.2,NA,4.93333333333333,NA,82.6,NA,NA,61.6666666666667,NA,0.933333333333333,NA,NA,NA,NA,NA,NA,33.8666666666667,NA,249.133333333333,NA,NA,NA,NA,"Same"
"00-0030085","Kenny Stills","WR","HOU",2020,19,11,238,144,1,0.0748031496062992,0.122365038560411,0.197860251401737,12.5263157894737,254,1945,31.4,NA,7,NA,2.71428571428571,NA,1.57142857142857,NA,34,NA,NA,20.5714285714286,NA,0.142857142857143,NA,NA,NA,NA,NA,NA,36.2857142857143,NA,277.857142857143,NA,NA,NA,NA,"Same"
"00-0030279","Keenan Allen","WR","LAC",2020,147,100,1052,992,8,0.248310810810811,0.24625468164794,0.544844493369774,7.15646258503401,592,4272,247.1,NA,14,NA,10.5,NA,7.14285714285714,NA,75.1428571428571,NA,NA,70.8571428571429,NA,0.571428571428571,NA,NA,NA,NA,NA,NA,42.2857142857143,NA,305.142857142857,NA,NA,NA,NA,"Same"
"00-0030431","Robert Woods","WR","LA",2020,129,90,898,936,6,0.209756097560976,0.228092456184912,0.474298865670902,6.96124031007752,615,3937,247.1,NA,16,NA,8.0625,NA,5.625,NA,56.125,NA,NA,58.5,NA,0.375,NA,NA,NA,NA,NA,NA,38.4375,NA,246.0625,NA,NA,NA,NA,"Same"
"00-0030525","Tavon Austin","WR","GB",2020,5,5,-22,20,0,0.0595238095238095,-0.0392857142857143,0.0617857142857143,-4.4,84,560,7,NA,3,NA,1.66666666666667,NA,1.66666666666667,NA,-7.33333333333333,NA,NA,6.66666666666667,NA,0,NA,NA,NA,NA,NA,NA,28,NA,186.666666666667,NA,NA,NA,NA,"Same"
"00-0030564","DeAndre Hopkins","WR","ARI",2020,160,115,1417,1407,6,0.264900662251656,0.317713004484305,0.619750096516497,8.85625,604,4460,291.8,NA,16,NA,10,NA,7.1875,NA,88.5625,NA,NA,87.9375,NA,0.375,NA,NA,NA,NA,NA,NA,37.75,NA,278.75,NA,NA,NA,NA,"Same"
"00-0030578","Cordarrelle Patterson","WR","CHI",2020,25,21,90,132,0,0.0407830342577488,0.0196678321678322,0.0749420339041057,3.6,613,4576,63.4,NA,15,NA,1.66666666666667,NA,1.4,NA,6,NA,NA,8.8,NA,0,NA,NA,NA,NA,NA,NA,40.8666666666667,NA,305.066666666667,NA,NA,NA,NA,"Same"
"00-0030663","Willie Snead","WR","BAL",2020,48,33,428,432,3,0.125984251968504,0.138064516129032,0.285621539243078,8.91666666666667,381,3100,94.2,NA,13,NA,3.69230769230769,NA,2.53846153846154,NA,32.9230769230769,NA,NA,33.2307692307692,NA,0.230769230769231,NA,NA,NA,NA,NA,NA,29.3076923076923,NA,238.461538461538,NA,NA,NA,NA,"Same"
"00-0030670","Bennie Fowler","WR","NO",2020,6,2,47,11,0,0.12,0.143730886850153,0.280611620795107,7.83333333333333,50,327,3.1,NA,1,NA,6,NA,2,NA,47,NA,NA,11,NA,0,NA,NA,NA,NA,NA,NA,50,NA,327,NA,NA,NA,NA,"Same"
"00-0031051","John Brown","WR","BUF",2020,52,33,643,458,3,0.154302670623145,0.232718060079624,0.394356647990455,12.3653846153846,337,2763,96.8,NA,9,NA,5.77777777777778,NA,3.66666666666667,NA,71.4444444444444,NA,NA,50.8888888888889,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,37.4444444444444,NA,307,NA,NA,NA,NA,"Same"
"00-0031166","Seth Roberts","WR","CAR",2020,6,4,44,31,0,0.0588235294117647,0.0682170542635659,0.135987232102143,7.33333333333333,102,645,7.1,NA,3,NA,2,NA,1.33333333333333,NA,14.6666666666667,NA,NA,10.3333333333333,NA,0,NA,NA,NA,NA,NA,NA,34,NA,215,NA,NA,NA,NA,"Same"
"00-0031235","Odell Beckham","WR","CLE",2020,43,23,584,319,3,0.193693693693694,0.3205268935236,0.514909366007061,13.5813953488372,222,1822,86.82,NA,7,NA,6.14285714285714,NA,3.28571428571429,NA,83.4285714285714,NA,NA,45.5714285714286,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,31.7142857142857,NA,260.285714285714,NA,NA,NA,NA,"Same"
"00-0031236","Brandin Cooks","WR","HOU",2020,119,81,1403,1143,6,0.212880143112701,0.30075026795284,0.52984540223604,11.7899159663866,559,4665,231.3,NA,15,NA,7.93333333333333,NA,5.4,NA,93.5333333333333,NA,NA,76.2,NA,0.4,NA,NA,NA,NA,NA,NA,37.2666666666667,NA,311,NA,NA,NA,NA,"Same"
"00-0031319","Diontae Spencer","WR","DEN",2020,6,3,33,26,0,0.0368098159509202,0.0221923335574983,0.0707493574166292,5.5,163,1487,7.5,NA,5,NA,1.2,NA,0.6,NA,6.6,NA,NA,5.2,NA,0,NA,NA,NA,NA,NA,NA,32.6,NA,297.4,NA,NA,NA,NA,"Same"
"00-0031325","Sammy Watkins","WR","KC",2020,55,37,443,421,2,0.129411764705882,0.127923765521224,0.283664282923681,8.05454545454545,425,3463,90.4,NA,10,NA,5.5,NA,3.7,NA,44.3,NA,NA,42.1,NA,0.2,NA,NA,NA,NA,NA,NA,42.5,NA,346.3,NA,NA,NA,NA,"Same"
"00-0031339","Donte Moncrief","WR","NE",2020,2,1,5,15,0,0.0307692307692308,0.0127226463104326,0.055059698571149,2.5,65,393,2.9,NA,2,NA,1,NA,0.5,NA,2.5,NA,NA,7.5,NA,0,NA,NA,NA,NA,NA,NA,32.5,NA,196.5,NA,NA,NA,NA,"Same"
"00-0031381","Davante Adams","WR","GB",2020,149,115,1330,1374,18,0.310416666666667,0.373385738349242,0.726995016844469,8.9261744966443,480,3562,360.4,NA,14,NA,10.6428571428571,NA,8.21428571428571,NA,95,NA,NA,98.1428571428571,NA,1.28571428571429,NA,NA,NA,NA,NA,NA,34.2857142857143,NA,254.428571428571,NA,NA,NA,NA,"Same"
"00-0031382","Jarvis Landry","WR","CLE",2020,101,72,832,843,3,0.214893617021277,0.21745948771563,0.474562066932856,8.23762376237624,470,3826,188.16,NA,15,NA,6.73333333333333,NA,4.8,NA,55.4666666666667,NA,NA,56.2,NA,0.2,NA,NA,NA,NA,NA,NA,31.3333333333333,NA,255.066666666667,NA,NA,NA,NA,"Same"
"00-0031408","Mike Evans","WR","TB",2020,109,70,1320,1006,13,0.16820987654321,0.234167110164981,0.416231791930302,12.1100917431193,648,5637,248.6,NA,16,NA,6.8125,NA,4.375,NA,82.5,NA,NA,62.875,NA,0.8125,NA,NA,NA,NA,NA,NA,40.5,NA,352.3125,NA,NA,NA,NA,"Same"
"00-0031428","Allen Robinson","WR","CHI",2020,151,102,1450,1250,6,0.232307692307692,0.297741273100616,0.55688042963197,9.60264900662252,650,4870,262.9,NA,16,NA,9.4375,NA,6.375,NA,90.625,NA,NA,78.125,NA,0.375,NA,NA,NA,NA,NA,NA,40.625,NA,304.375,NA,NA,NA,NA,"Same"
"00-0031544","Amari Cooper","WR","DAL",2020,130,92,1145,1114,5,0.190336749633968,0.241154170176917,0.454313043574793,8.80769230769231,683,4748,234.8,NA,16,NA,8.125,NA,5.75,NA,71.5625,NA,NA,69.625,NA,0.3125,NA,NA,NA,NA,NA,NA,42.6875,NA,296.75,NA,NA,NA,NA,"Same"
"00-0031547","DeVante Parker","WR","MIA",2020,103,63,1002,793,4,0.195445920303605,0.254767353165523,0.471506027671274,9.72815533980583,527,3933,166.3,NA,14,NA,7.35714285714286,NA,4.5,NA,71.5714285714286,NA,NA,56.6428571428571,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,37.6428571428571,NA,280.928571428571,NA,NA,NA,NA,"Same"
"00-0031549","Nelson Agholor","WR","LV",2020,82,48,1269,896,8,0.141623488773748,0.282502226179875,0.410186791486534,15.4756097560976,579,4492,185.6,NA,16,NA,5.125,NA,3,NA,79.3125,NA,NA,56,NA,0.5,NA,NA,NA,NA,NA,NA,36.1875,NA,280.75,NA,NA,NA,NA,"Same"
"00-0031588","Stefon Diggs","WR","BUF",2020,166,127,1674,1535,8,0.26645264847512,0.326125073056692,0.627966523852365,10.0843373493976,623,5133,328.6,NA,16,NA,10.375,NA,7.9375,NA,104.625,NA,NA,95.9375,NA,0.5,NA,NA,NA,NA,NA,NA,38.9375,NA,320.8125,NA,NA,NA,NA,"Same"
"00-0031763","DeAndre Carter","WR","HOU",2020,2,1,16,8,0,0.0555555555555556,0.0565371024734982,0.122909305064782,8,36,283,1.8,NA,1,NA,2,NA,1,NA,16,NA,NA,8,NA,0,NA,NA,NA,NA,NA,NA,36,NA,283,NA,NA,NA,NA,"Same"
"00-0031787","Jake Kumerow","WR","BUF",2020,1,1,22,22,1,0.024390243902439,0.0544554455445545,0.0747041777348467,22,41,404,9.2,NA,1,NA,1,NA,1,NA,22,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,41,NA,404,NA,NA,NA,NA,"Same"
